username,total_stars,avg_stars_per_repo,max_repo_stars,total_forks,avg_forks_per_repo,max_repo_forks,active_repos,total_repositories_found,active_repo_ratio
igorgolovanov,31,0.3522727272727273,14,10,0.11363636363636363,7,6,88,0.06818181818181818
k-fire,340,12.592592592592593,246,75,2.7777777777777777,55,6,27,0.2222222222222222
edgarberlinck,19,0.36538461538461536,6,5,0.09615384615384616,3,17,52,0.3269230769230769
Dovgalyuk,123,2.1578947368421053,39,410,7.192982456140351,361,6,57,0.10526315789473684
BeckShe,7,0.07,1,0,0.0,0,8,100,0.08
PeteHaitch,79,1.0128205128205128,16,30,0.38461538461538464,7,4,78,0.05128205128205128
shreyas-lyzr,57,1.0,23,18,0.3157894736842105,4,51,57,0.8947368421052632
a7medayman6,89,0.89,18,102,1.02,84,14,100,0.14
RobotsAndPencils,691,6.91,476,166,1.66,81,3,100,0.03
mentorblessiano,0,0.0,0,0,0.0,0,0,5,0.0
n1c01a5,10,0.1,2,11,0.11,4,2,100,0.02
gregkorte,8,0.12121212121212122,5,4,0.06060606060606061,2,7,66,0.10606060606060606
bevilacqua1996,11,0.4074074074074074,2,1,0.037037037037037035,1,7,27,0.25925925925925924
Daniel-Vinicius,97,1.1829268292682926,13,39,0.47560975609756095,9,1,82,0.012195121951219513
xuanyu-h,6,0.75,3,1,0.125,1,2,8,0.25
04diiguyi,1,0.058823529411764705,1,0,0.0,0,0,17,0.0
GoZaddy,164,5.290322580645161,71,78,2.5161290322580645,58,1,31,0.03225806451612903
PixelPioneer-pro,0,0.0,0,1,0.09090909090909091,1,0,11,0.0
tasadurian,16,0.35555555555555557,3,0,0.0,0,1,45,0.022222222222222223
BrickheadJohnny,21,3.5,11,0,0.0,0,0,6,0.0
samuel-marsh,314,13.083333333333334,302,38,1.5833333333333333,33,7,24,0.2916666666666667
Justin3go,832,17.70212765957447,508,117,2.4893617021276597,69,8,47,0.1702127659574468
kamachiii,20,0.2,19,4,0.04,3,14,100,0.14
Akshat111111,167,1.67,97,159,1.59,101,9,100,0.09
ava-orange-education,128,1.28,15,85,0.85,10,47,100,0.47
NimaKhajehpour,158,10.533333333333333,42,5,0.3333333333333333,3,7,15,0.4666666666666667
georgegognadze,386,16.782608695652176,369,112,4.869565217391305,101,4,23,0.17391304347826086
